Unidade Orcamentaria,Especificacao
SECRETARIA MUNICIPAL DE CULTURA E ESPORTES,Secretaria Municipal de Cultura e Esportes
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL,Fundo Municipal de Assistência Social
SEC. MUN. SAUDE/FUNDO MUN. SAUDE,Secretaria Municipal de Saúde / Fundo Municipal de Saúde
SECRETARIA MUNICIPAL DE FINANÇAS,Secretaria Municipal de Finanças
SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO,Secretaria Municipal de Administração
GABINETE DO PREFEITO MUNICIPAL,Chefia de Gabinete
SECRETARIA MUNICIPAL DE EDUCAÇÃO,Secretaria Municipal de Educação
SECRET. MUN.DE MEIO AMBIENTE E AGRICULT.,Secretaria Municipal de Meio Ambiente e Agricultura
SECRET.MUN. ASSISTÊNCIA E DESENV. SOCIAL,Secretaria Municipal de Assistência e Desenv. Social
FUNDO MUN.DIREITOS CRIANÇA E ADOLESCENTE,Fundo Municipal dos Direitos da Criança e do Adolescente
SECRETARIA MUNICIPAL DE FAZENDA,Secretaria Municipal da Fazenda
SECRETARIA MUNICIPAL DEFESA SOCIAL,Secretaria Municipal de Defesa Social / Fundo Municipal de Trânsito
SECRETARIA MUNICIPAL DE TURISMO,Secretaria Municipal de Turismo
"SECRET.MUN.OBRAS,SERV.INFRAESTRUTURA URB","Secretaria Mun. Obras, Serviços e Infraestrutura Urbana"
SECRETARIA MUNICIPAL DE PLANEJAMENTO,Secretaria Municipal de Planejamento
"SEC. DE EMPREGO, INDUSTRIA E COMERCIO","Secretaria de Empregos, Indústria e Comércio"
SECRETARIA MUN. DE ASSUNTOS JURÍDICOS,Secretaria de Assuntos Jurídicos
FUNDEB,Fundo de Manutenção e Desenv. da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB
Outras Prestações de Serviço,Secretaria Municipal de Governo
FUNTUR - FUNDO MUNICIPAL DE TURISMO,Fundo Municipal de Turismo  FUNTUR
FUNDO MUNICIPAL DO IDOSO,Fundo Municipal do Idoso
FUNDO DE DESENVOLVIMENTO DA CIDADE,Fundo de Desenvolvimento da Cidade
FUNDO DO BEM ESTAR ANIMAL,Fundo do Bem Estar Animal
FUNDO MUN. CONS. PROT. DEF.MEIO AMBIENTE,Fundo Mun. Con. Serv. Prot. Defesa do Meio Ambiente
FUNDO MUN. SANEAM. AMB. E INFRAESTRUTURA,Fundo Mun. Saneam. Ambiental e Infraestrutura
SECRETARIA MUNICIPAL DE GOVERNO,Secretaria Municipal de Governo
